CTY_CODE,CTY_NAME,GEN_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,MONTH,SUMMARY_LVL,COMM_LVL,I_COMMODITY,YEAR
-,TOTAL FOR ALL COUNTRIES,3632112,3294912,358375,0,0,0,0,01,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2915767,2915767,308289,0,0,0,0,02,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,3948276,3948276,413970,0,0,0,0,03,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,3205893,3202718,361890,0,0,0,0,04,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,3191762,3185462,338101,0,0,0,0,05,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2892760,2892760,319219,0,0,0,0,06,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2639205,2639205,294737,0,0,0,0,07,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2922356,2922356,329053,0,0,0,0,08,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2672163,2672163,304582,0,0,0,0,09,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2843502,2835797,324628,0,0,0,0,10,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,3580026,3575151,315591,0,0,0,0,11,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,2904939,2900334,299560,0,0,0,0,12,DET,HS6,030111,2019
-,TOTAL FOR ALL COUNTRIES,540823,540823,65698,0,0,0,0,01,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,502927,502927,63177,0,0,0,0,02,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,577057,577057,75763,0,0,0,0,03,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,502775,502775,66824,0,0,0,0,04,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,521227,521227,62450,0,0,0,0,05,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,440246,440246,54048,0,0,0,0,06,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,563611,563611,62740,0,0,0,0,07,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,393993,393993,59483,0,0,0,0,08,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,472781,472781,59308,0,0,0,0,09,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,527426,527426,73570,0,0,0,0,10,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,421508,421508,55233,0,0,0,0,11,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,515635,515635,62165,0,0,0,0,12,DET,HS6,030119,2019
-,TOTAL FOR ALL COUNTRIES,94722,94722,5616,0,0,0,0,01,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,110708,110708,8309,0,0,0,0,02,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,103235,103235,8695,0,0,0,0,03,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,83456,83456,6526,0,0,0,0,04,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,88159,88159,6423,0,0,0,0,06,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,104651,104651,7004,0,0,0,0,05,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,109511,109511,7546,0,0,0,0,07,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,95018,87518,5442,0,0,0,0,08,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,74793,74793,5438,0,0,0,0,09,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,96124,96124,6246,0,0,0,0,10,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,74696,74696,6784,0,0,0,0,11,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,106671,106671,8598,0,0,0,0,12,DET,HS6,030191,2019
-,TOTAL FOR ALL COUNTRIES,290980,30807,5083,260173,124190,260173,124190,01,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,417050,37246,6521,345866,182060,345866,182060,02,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,736002,42764,10767,554894,284170,554894,284170,03,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,755325,23250,4569,652155,285590,652155,285590,04,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,336730,21973,3822,305117,129344,305117,129344,05,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,194706,19498,3203,123897,74070,123897,74070,06,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,265146,8280,1310,226481,124471,226481,124471,07,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,281564,7377,1288,274187,143073,274187,143073,08,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,182760,18068,4232,164692,99400,164692,99400,09,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,293999,17457,2946,225598,129741,225598,129741,10,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,287796,18036,2899,269760,140514,269760,140514,11,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,163643,30332,5353,133311,73406,133311,73406,12,DET,HS6,030366,2019
-,TOTAL FOR ALL COUNTRIES,73019,58019,8222,0,0,0,0,01,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,71045,71045,7097,0,0,0,0,02,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,115498,115498,12333,0,0,0,0,03,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,89196,89196,8852,0,0,0,0,04,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,84694,77194,9040,0,0,0,0,05,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,90910,68540,8039,5300,1695,5300,1695,06,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,96249,84836,10840,0,0,0,0,07,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,115577,69470,8150,0,0,0,0,08,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,156935,90622,10142,0,0,0,0,09,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,180244,77545,8519,0,0,0,0,10,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,132689,90525,9512,0,0,0,0,11,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,197575,114108,11834,0,0,0,0,12,DET,HS6,030192,2019
-,TOTAL FOR ALL COUNTRIES,4684,0,0,0,0,0,0,01,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,2560,0,0,0,0,0,0,02,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,2359,0,0,0,0,0,0,03,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,04,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,4526,0,0,0,0,0,0,05,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,12433,0,0,0,0,0,0,07,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,11445,0,0,0,0,0,0,06,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,08,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,2147,0,0,0,0,0,0,09,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,13451,0,0,0,0,0,0,10,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,16209,0,0,0,0,0,0,11,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,7825,0,0,0,0,0,0,12,DET,HS6,030193,2019
-,TOTAL FOR ALL COUNTRIES,2429,0,0,2429,113,2429,113,10,DET,HS6,030194,2019
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,11,DET,HS6,030194,2019
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,12,DET,HS6,030194,2019
-,TOTAL FOR ALL COUNTRIES,1159062,1003118,188818,155944,74000,155944,74000,01,DET,HS6,030199,2019
-,TOTAL FOR ALL COUNTRIES,3485387,3459325,524528,6162,1333,6162,1333,01,DET,HS6,030211,2019
-,TOTAL FOR ALL COUNTRIES,2961521,2886901,422216,64014,10280,64014,10280,02,DET,HS6,030211,2019
